evaluator,generator,dataset,distance,performance
gpt-4.1-mini,gpt-4o-mini,wikisum,-72,0.0
gpt-4o,gpt-4o-mini,wikisum,-134,0.0
gpt-4.1,gpt-4o-mini,wikisum,-105,0.235042735042735
haiku-3.5,gpt-4o-mini,wikisum,-14,0.1544117647058823
sonnet-4.5,gpt-4o-mini,wikisum,-139,0.5735294117647058
opus-4.1,gpt-4o-mini,wikisum,-137,0.8823529411764706
gemini-2.0-flash-lite,gpt-4o-mini,wikisum,-50,0.2903225806451613
gemini-2.0-flash,gpt-4o-mini,wikisum,-56,0.4419354838709677
ll-3.1-8b,gpt-4o-mini,wikisum,73,0.6410256410256411
ll-3.1-70b,gpt-4o-mini,wikisum,21,0.3376068376068376
ll-3.1-405b,gpt-4o-mini,wikisum,-27,0.3247863247863248
qwen-2.5-72b,gpt-4o-mini,wikisum,18,0.6196581196581197
qwen-3.0-80b,gpt-4o-mini,wikisum,-93,0.0
deepseek-3.1,gpt-4o-mini,wikisum,-110,0.1666666666666666
kimi-k2,gpt-4o-mini,wikisum,-114,0.2008547008547008
gpt-4o-mini,gpt-4.1-mini,wikisum,72,0.3967741935483871
gpt-4o,gpt-4.1-mini,wikisum,-62,0.0
gpt-4.1,gpt-4.1-mini,wikisum,-33,0.0
haiku-3.5,gpt-4.1-mini,wikisum,58,0.1176470588235294
sonnet-4.5,gpt-4.1-mini,wikisum,-67,0.4264705882352941
opus-4.1,gpt-4.1-mini,wikisum,-65,0.4558823529411764
gemini-2.0-flash-lite,gpt-4.1-mini,wikisum,22,0.2193548387096774
gemini-2.0-flash,gpt-4.1-mini,wikisum,16,0.4
ll-3.1-8b,gpt-4.1-mini,wikisum,145,0.4786324786324786
ll-3.1-70b,gpt-4.1-mini,wikisum,93,0.0512820512820512
ll-3.1-405b,gpt-4.1-mini,wikisum,45,0.0299145299145299
qwen-2.5-72b,gpt-4.1-mini,wikisum,90,0.4658119658119658
qwen-3.0-80b,gpt-4.1-mini,wikisum,-21,0.0
deepseek-3.1,gpt-4.1-mini,wikisum,-38,0.0256410256410256
kimi-k2,gpt-4.1-mini,wikisum,-42,0.0811965811965812
gpt-4o-mini,gpt-4o,wikisum,134,0.5645161290322581
gpt-4.1-mini,gpt-4o,wikisum,62,0.0
gpt-4.1,gpt-4o,wikisum,29,0.2758620689655172
haiku-3.5,gpt-4o,wikisum,120,0.1544117647058823
sonnet-4.5,gpt-4o,wikisum,-5,0.5073529411764706
opus-4.1,gpt-4o,wikisum,-3,0.8602941176470589
gemini-2.0-flash-lite,gpt-4o,wikisum,84,0.2
gemini-2.0-flash,gpt-4o,wikisum,78,0.4419354838709677
ll-3.1-8b,gpt-4o,wikisum,207,0.7008547008547008
ll-3.1-70b,gpt-4o,wikisum,155,0.4188034188034188
ll-3.1-405b,gpt-4o,wikisum,107,0.4316239316239316
qwen-2.5-72b,gpt-4o,wikisum,152,0.6581196581196581
