evaluator,generator,dataset,distance,performance
gpt-4.1-mini,gpt-4o-mini,sharegpt,-72,0.065
gpt-4o,gpt-4o-mini,sharegpt,-134,0.045
gpt-4.1,gpt-4o-mini,sharegpt,-105,0.08
haiku-3.5,gpt-4o-mini,sharegpt,-14,0.03
sonnet-4.5,gpt-4o-mini,sharegpt,-139,0.215
opus-4.1,gpt-4o-mini,sharegpt,-137,0.125
gemini-2.0-flash-lite,gpt-4o-mini,sharegpt,-50,0.03
gemini-2.0-flash,gpt-4o-mini,sharegpt,-56,0.095
ll-3.1-8b,gpt-4o-mini,sharegpt,73,0.095
ll-3.1-70b,gpt-4o-mini,sharegpt,21,0.035
ll-3.1-405b,gpt-4o-mini,sharegpt,-27,0.02
qwen-2.5-72b,gpt-4o-mini,sharegpt,18,0.01
qwen-3.0-80b,gpt-4o-mini,sharegpt,-93,0.08
deepseek-3.1,gpt-4o-mini,sharegpt,-110,0.035
kimi-k2,gpt-4o-mini,sharegpt,-114,0.14
gpt-4o-mini,gpt-4.1-mini,sharegpt,72,0.045
gpt-4o,gpt-4.1-mini,sharegpt,-62,0.02
gpt-4.1,gpt-4.1-mini,sharegpt,-33,0.02
haiku-3.5,gpt-4.1-mini,sharegpt,58,0.045
sonnet-4.5,gpt-4.1-mini,sharegpt,-67,0.12
opus-4.1,gpt-4.1-mini,sharegpt,-65,0.07
gemini-2.0-flash-lite,gpt-4.1-mini,sharegpt,22,0.02
gemini-2.0-flash,gpt-4.1-mini,sharegpt,16,0.065
ll-3.1-8b,gpt-4.1-mini,sharegpt,145,0.25
ll-3.1-70b,gpt-4.1-mini,sharegpt,93,0.035
ll-3.1-405b,gpt-4.1-mini,sharegpt,45,0.025
qwen-2.5-72b,gpt-4.1-mini,sharegpt,90,0.01
qwen-3.0-80b,gpt-4.1-mini,sharegpt,-21,0.03
deepseek-3.1,gpt-4.1-mini,sharegpt,-38,0.015
kimi-k2,gpt-4.1-mini,sharegpt,-42,0.055
gpt-4o-mini,gpt-4o,sharegpt,134,0.01
gpt-4.1-mini,gpt-4o,sharegpt,62,0.045
gpt-4.1,gpt-4o,sharegpt,29,0.06
haiku-3.5,gpt-4o,sharegpt,120,0.02
sonnet-4.5,gpt-4o,sharegpt,-5,0.18
opus-4.1,gpt-4o,sharegpt,-3,0.095
gemini-2.0-flash-lite,gpt-4o,sharegpt,84,0.02
gemini-2.0-flash,gpt-4o,sharegpt,78,0.08
ll-3.1-8b,gpt-4o,sharegpt,207,0.14
ll-3.1-70b,gpt-4o,sharegpt,155,0.03
ll-3.1-405b,gpt-4o,sharegpt,107,0.03
qwen-2.5-72b,gpt-4o,sharegpt,152,0.0384615384615384
qwen-3.0-80b,gpt-4o,sharegpt,41,0.07
deepseek-3.1,gpt-4o,sharegpt,24,0.025
kimi-k2,gpt-4o,sharegpt,20,0.115
gpt-4o-mini,gpt-4.1,sharegpt,105,0.03
gpt-4.1-mini,gpt-4.1,sharegpt,33,0.025
gpt-4o,gpt-4.1,sharegpt,-29,0.045
haiku-3.5,gpt-4.1,sharegpt,91,0.035
sonnet-4.5,gpt-4.1,sharegpt,-34,0.11
opus-4.1,gpt-4.1,sharegpt,-32,0.04
gemini-2.0-flash-lite,gpt-4.1,sharegpt,55,0.02
gemini-2.0-flash,gpt-4.1,sharegpt,49,0.05
ll-3.1-8b,gpt-4.1,sharegpt,178,0.145
ll-3.1-70b,gpt-4.1,sharegpt,126,0.03
ll-3.1-405b,gpt-4.1,sharegpt,78,0.02
qwen-2.5-72b,gpt-4.1,sharegpt,123,0.01
qwen-3.0-80b,gpt-4.1,sharegpt,12,0.01
deepseek-3.1,gpt-4.1,sharegpt,-5,0.01
kimi-k2,gpt-4.1,sharegpt,-9,0.06
gpt-4o-mini,haiku-3.5,sharegpt,14,0.035
gpt-4.1-mini,haiku-3.5,sharegpt,-58,0.095
gpt-4o,haiku-3.5,sharegpt,-120,0.035
gpt-4.1,haiku-3.5,sharegpt,-91,0.16
sonnet-4.5,haiku-3.5,sharegpt,-125,0.22
opus-4.1,haiku-3.5,sharegpt,-123,0.13
gemini-2.0-flash-lite,haiku-3.5,sharegpt,-36,0.04
gemini-2.0-flash,haiku-3.5,sharegpt,-42,0.175
ll-3.1-8b,haiku-3.5,sharegpt,87,0.295
ll-3.1-70b,haiku-3.5,sharegpt,35,0.05
ll-3.1-405b,haiku-3.5,sharegpt,-13,0.0384615384615384
qwen-2.5-72b,haiku-3.5,sharegpt,32,0.01
qwen-3.0-80b,haiku-3.5,sharegpt,-79,0.115
deepseek-3.1,haiku-3.5,sharegpt,-96,0.045
kimi-k2,haiku-3.5,sharegpt,-100,0.25
gpt-4o-mini,sonnet-4.5,sharegpt,139,0.0
gpt-4.1-mini,sonnet-4.5,sharegpt,67,0.005
gpt-4o,sonnet-4.5,sharegpt,5,0.0301960784313725
gpt-4.1,sonnet-4.5,sharegpt,34,0.04
haiku-3.5,sonnet-4.5,sharegpt,125,0.01
opus-4.1,sonnet-4.5,sharegpt,2,0.005
gemini-2.0-flash-lite,sonnet-4.5,sharegpt,89,0.01
gemini-2.0-flash,sonnet-4.5,sharegpt,83,0.07
ll-3.1-8b,sonnet-4.5,sharegpt,212,0.2
ll-3.1-70b,sonnet-4.5,sharegpt,160,0.03
ll-3.1-405b,sonnet-4.5,sharegpt,112,0.02
qwen-2.5-72b,sonnet-4.5,sharegpt,157,0.0
qwen-3.0-80b,sonnet-4.5,sharegpt,46,0.03
deepseek-3.1,sonnet-4.5,sharegpt,29,0.015
kimi-k2,sonnet-4.5,sharegpt,25,0.045
gpt-4o-mini,opus-4.1,sharegpt,137,0.015
gpt-4.1-mini,opus-4.1,sharegpt,65,0.0
gpt-4o,opus-4.1,sharegpt,3,0.04
gpt-4.1,opus-4.1,sharegpt,32,0.025
haiku-3.5,opus-4.1,sharegpt,123,0.01
sonnet-4.5,opus-4.1,sharegpt,-2,0.09
gemini-2.0-flash-lite,opus-4.1,sharegpt,87,0.02
gemini-2.0-flash,opus-4.1,sharegpt,81,0.05
ll-3.1-8b,opus-4.1,sharegpt,210,0.175
ll-3.1-70b,opus-4.1,sharegpt,158,0.02
ll-3.1-405b,opus-4.1,sharegpt,110,0.02
qwen-2.5-72b,opus-4.1,sharegpt,155,0.0
qwen-3.0-80b,opus-4.1,sharegpt,44,0.03
deepseek-3.1,opus-4.1,sharegpt,27,0.0
kimi-k2,opus-4.1,sharegpt,23,0.06
gpt-4o-mini,gemini-2.0-flash-lite,sharegpt,50,0.035
gpt-4.1-mini,gemini-2.0-flash-lite,sharegpt,-22,0.045
gpt-4o,gemini-2.0-flash-lite,sharegpt,-84,0.055
gpt-4.1,gemini-2.0-flash-lite,sharegpt,-55,0.07
haiku-3.5,gemini-2.0-flash-lite,sharegpt,36,0.04
sonnet-4.5,gemini-2.0-flash-lite,sharegpt,-89,0.175
opus-4.1,gemini-2.0-flash-lite,sharegpt,-87,0.065
gemini-2.0-flash,gemini-2.0-flash-lite,sharegpt,-6,0.04
ll-3.1-8b,gemini-2.0-flash-lite,sharegpt,123,0.115
ll-3.1-70b,gemini-2.0-flash-lite,sharegpt,71,0.045
