evaluator,generator,dataset,distance,performance
opus-4.1-thinking,gpt-oss-120b-thinking,wikisum,-87,0.7040816326530612
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,wikisum,-91,0.5306122448979592
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,wikisum,-11,0.4530688323791772
deepseek-r1-thinking,gpt-oss-120b-thinking,wikisum,-64,0.1836734693877551
kimi-k2-thinking,gpt-oss-120b-thinking,wikisum,-75,0.4173669467787114
gpt-oss-120b-thinking,opus-4.1-thinking,wikisum,87,0.7040816326530612
gemini-2.5-pro-thinking,opus-4.1-thinking,wikisum,-4,0.4795918367346938
qwen-3.0-80b-thinking,opus-4.1-thinking,wikisum,76,0.5102040816326531
deepseek-r1-thinking,opus-4.1-thinking,wikisum,23,0.1326530612244898
kimi-k2-thinking,opus-4.1-thinking,wikisum,12,0.5389610389610389
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,wikisum,91,0.673469387755102
opus-4.1-thinking,gemini-2.5-pro-thinking,wikisum,4,0.4693877551020408
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,wikisum,80,0.6827681448519257
deepseek-r1-thinking,gemini-2.5-pro-thinking,wikisum,27,0.3163265306122449
kimi-k2-thinking,gemini-2.5-pro-thinking,wikisum,16,0.4663008060367004
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,wikisum,11,0.689899688689035
opus-4.1-thinking,qwen-3.0-80b-thinking,wikisum,-76,0.6632653061224489
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,wikisum,-80,0.7040816326530612
deepseek-r1-thinking,qwen-3.0-80b-thinking,wikisum,-53,0.3469387755102041
kimi-k2-thinking,qwen-3.0-80b-thinking,wikisum,-64,0.575235808609158
gpt-oss-120b-thinking,deepseek-r1-thinking,wikisum,64,0.7346938775510204
opus-4.1-thinking,deepseek-r1-thinking,wikisum,-23,0.7244897959183674
gemini-2.5-pro-thinking,deepseek-r1-thinking,wikisum,-27,0.8061224489795918
qwen-3.0-80b-thinking,deepseek-r1-thinking,wikisum,53,0.7411078717201167
kimi-k2-thinking,deepseek-r1-thinking,wikisum,-11,0.6485532988705687
gpt-oss-120b-thinking,kimi-k2-thinking,wikisum,75,0.7857142857142857
opus-4.1-thinking,kimi-k2-thinking,wikisum,-12,0.6020408163265306
gemini-2.5-pro-thinking,kimi-k2-thinking,wikisum,-16,0.5306122448979592
qwen-3.0-80b-thinking,kimi-k2-thinking,wikisum,64,0.4310125964261302
deepseek-r1-thinking,kimi-k2-thinking,wikisum,11,0.2040816326530612
opus-4.1-thinking,gpt-oss-120b-thinking,sharegpt,-87,0.8103448275862069
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,sharegpt,-91,0.5576470588235294
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,sharegpt,-11,0.605
deepseek-r1-thinking,gpt-oss-120b-thinking,sharegpt,-64,0.32
kimi-k2-thinking,gpt-oss-120b-thinking,sharegpt,-75,0.4096153846153846
gpt-oss-120b-thinking,opus-4.1-thinking,sharegpt,87,0.603448275862069
gemini-2.5-pro-thinking,opus-4.1-thinking,sharegpt,-4,0.9310344827586208
qwen-3.0-80b-thinking,opus-4.1-thinking,sharegpt,76,0.7890466531440162
deepseek-r1-thinking,opus-4.1-thinking,sharegpt,23,0.5862068965517241
kimi-k2-thinking,opus-4.1-thinking,sharegpt,12,0.7068965517241379
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,sharegpt,91,0.59
opus-4.1-thinking,gemini-2.5-pro-thinking,sharegpt,4,0.6206896551724138
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,sharegpt,80,0.615
deepseek-r1-thinking,gemini-2.5-pro-thinking,sharegpt,27,0.36
kimi-k2-thinking,gemini-2.5-pro-thinking,sharegpt,16,0.4795945205479452
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,sharegpt,11,0.53
opus-4.1-thinking,qwen-3.0-80b-thinking,sharegpt,-76,0.8448275862068966
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,sharegpt,-80,0.58
deepseek-r1-thinking,qwen-3.0-80b-thinking,sharegpt,-53,0.295
kimi-k2-thinking,qwen-3.0-80b-thinking,sharegpt,-64,0.4722562449637389
gpt-oss-120b-thinking,deepseek-r1-thinking,sharegpt,64,0.65
opus-4.1-thinking,deepseek-r1-thinking,sharegpt,-23,0.896551724137931
gemini-2.5-pro-thinking,deepseek-r1-thinking,sharegpt,-27,0.725
qwen-3.0-80b-thinking,deepseek-r1-thinking,sharegpt,53,0.7239215686274509
kimi-k2-thinking,deepseek-r1-thinking,sharegpt,-11,0.5667736185383244
gpt-oss-120b-thinking,kimi-k2-thinking,sharegpt,75,0.6030272108843537
opus-4.1-thinking,kimi-k2-thinking,sharegpt,-12,0.6206896551724138
gemini-2.5-pro-thinking,kimi-k2-thinking,sharegpt,-16,0.66
qwen-3.0-80b-thinking,kimi-k2-thinking,sharegpt,64,0.6732352941176472
deepseek-r1-thinking,kimi-k2-thinking,sharegpt,11,0.44
